ID,Genomic Coordinates,Parental Origin of Methylation,Nearest Transcript,Distance to Nearest Transcript
ICR_1403,chrX:19514065-19514434,M**,MAP3K15,0
ICR_1404^,chrX:20117090-20117193,,MAP7D2,183
ICR_1405,chrX:21657683-21658001,,KLHL34,0
ICR_1406,chrX:29919459-29920091,P**,IL1RAPL1,0
ICR_1407^,chrX:36575019-36576600,P**,H2AL1QP,143318
ICR_1408*,chrX:38474430-38475389,P,FTLP16,9372
ICR_1409*^,chrX:39813662-39814142,P**,MIR1587,23419
ICR_1410,chrX:39822216-39822775,,MIR1587,14786
ICR_1411^,chrX:40157065-40157832,M**,BCOR,0
ICR_1412,chrX:40205491-40205660,,BCOR,28101
ICR_1413^,chrX:40243438-40244131,P,BCOR,66048
ICR_1414,chrX:41088076-41088234,,USP9X,0
ICR_1415,chrX:42778156-42778387,M**,PPP1R2C,0
ICR_1416^,chrX:45806771-45807324,P**,LINC02595,40750
ICR_1417*^,chrX:47637837-47638168,M,ELK1,0
ICR_1418^,chrX:48827533-48827653,,ERAS,0
ICR_1419^,chrX:49072475-49072555,,PRAF2,0
ICR_1420,chrX:49157267-49157391,,RN7SL262P,4323
ICR_1421*^,chrX:49167171-49167897,,MAGIX,0
ICR_1422,chrX:49233991-49234143,M**,HSPB1P2,0
ICR_1423,chrX:52222518-52222852,,MAGED4,30250
ICR_1424,chrX:53000159-53000569,,FAM156A,4687
ICR_1425*^,chrX:56763914-56764237,P**,NBDY,0
ICR_1426^,chrX:57909419-57909586,M**,ZXDA,0
ICR_1427,chrX:62517163-62517282,M**,MTND1P31,325230
ICR_1428^,chrX:62716477-62717078,M**,MTND1P31,125434
ICR_1429,chrX:64870664-64873851,,ZC4H2,41951
ICR_1430,chrX:65971193-65971333,,MIR223,47537
ICR_1431*^,chrX:68685508-68686065,,STARD8,0
ICR_1432,chrX:68736614-68736736,,STARD8,10772
ICR_1433^,chrX:69496102-69497671,P**,FAM155B,6655
ICR_1434^,chrX:70128674-70129529,P**,MTND4P31,0
ICR_1435,chrX:71499987-71500571,,TAF1,0
ICR_1436,chrX:71906120-71906682,P**,NHSL2,4391
ICR_1437^,chrX:72713721-72713883,,PHKA1,0
ICR_1438*^,chrX:73127734-73128301,,NAP1L6P,0
ICR_1439^,chrX:76147216-76148561,,PBDC1,24368
ICR_1440,chrX:92105042-92105444,P**,PCDH11X,0
ICR_1441^,chrX:99939597-99940400,M,B3GNT2P1,51491
ICR_1442,chrX:102140975-102141536,M**,TCEAL6,0
ICR_1443,chrX:102472007-102472147,M**,TCP11X2,195
ICR_1444^,chrX:102547184-102547508,,FOXN3P1,0
ICR_1445,chrX:103221230-103221495,,BEX4,3984
ICR_1446,chrX:104910027-104910754,,IL1RAPL2,0
ICR_1447^,chrX:105458750-105459285,P**,IL1RAPL2,0
ICR_1448,chrX:107155820-107156087,,NUP62CL,0
ICR_1449*,chrX:107936250-107936476,M**,MID2,4613
ICR_1450^,chrX:109054130-109054591,,GUCY2F,317470
ICR_1451*^,chrX:115892906-115893572,,DANT2|DANT1,0
ICR_1452^,chrX:116667123-116668428,P**,SLC6A14P1,1382
ICR_1453^,chrX:116815756-116816445,,SLC6A14P2,123071
ICR_1454,chrX:116817144-116817762,,SLC6A14P2,124459
ICR_1455,chrX:119150778-119151386,M**,KIAA1210,0
ICR_1456^,chrX:119759860-119760046,M**,SOWAHD,0
ICR_1457,chrX:119993224-119994216,P**,RHOXF1P3,681
ICR_1458*^,chrX:121333162-121334618,,MIR3672,36354
ICR_1459,chrX:128606464-128606562,M**,KRT18P44,107894
ICR_1460^,chrX:129337411-129338017,,RPS26P56,70365
ICR_1461^,chrX:129677271-129678103,,APLN,22315
ICR_1462^,chrX:129844135-129844659,,ZDHHC9,249
ICR_1463^,chrX:129934362-129934736,,UTP14A,4600
ICR_1464,chrX:129960826-129961094,,BCORL1,19191
ICR_1465^,chrX:130958952-130959301,,ENOX2,55635
ICR_1466,chrX:131278536-131279287,,IGSF1,0
ICR_1467*^,chrX:131746197-131747385,,FIRRE,0
ICR_1468^,chrX:133437318-133438444,P,GPC4,21829
ICR_1469,chrX:135422588-135423581,M**,SMIM10L2A,0
ICR_1470*^,chrX:135596590-135596689,,SAGE4P,2115
ICR_1471^,chrX:148741454-148742005,P**,AFF2,0
ICR_1472,chrX:149471290-149471680,,IDS,5308
ICR_1473^,chrX:153495535-153495619,P**,BGN,0
ICR_1474,chrX:153640989-153641378,,DUSP9,1063
ICR_1475*^,chrX:153644271-153644307,,DUSP9,0
ICR_1476^,chrX:153780931-153781167,P**,SRPK3,0
ICR_1477^,chrX:153949240-153949660,P**,HCFC1,0
ICR_1478^,chrX:153985596-153985803,P**,TMEM187,2402
ICR_1479^,chrX:153999530-153999979,P**,IRAK1,10528
ICR_1480^,chrX:154019040-154019364,,IRAK1,0
ICR_1481^,chrX:154094048-154094698,,MECP2,0
ICR_1482^,chrX:154396788-154397224,,RPL10,841
ICR_1483*^,chrX:154399041-154399615,M**,RPL10,0
ICR_1484^,chrX:154408925-154409317,P,DNASE1L1,0
ICR_1485^,chrX:154548296-154548666,M**,IKBKG,0
ICR_1486^,chrX:154805812-154806063,M**,MPP1,285
ICR_1487^,chrX:155070793-155070856,,CMC4|MTCP1,0
ICR_1488^,chrX:155641255-155641777,,TMLHE|SPRY3,0
